"a-size-base","a-size-base 2","a-link-normal href","a-link-normal href 2","a-size-base 3","a-link-normal href 3","a-size-base 4","a-link-normal href 4","a-size-base 5","a-link-normal href 5","a-size-base 6","a-link-normal href 6","a-size-base 7","a-link-normal href 7","a-size-base 8"
"Category","Smartphones","","","","","","","","","","","","",""
"Cell Phone Brands","Made for Amazon","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_format_browse-bin%3A30678581031&dc&qid=1675167496&rnid=30678573031&ref=lp_1805560031_nr_p_n_format_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_format_browse-bin%3A30678580031&dc&qid=1675167496&rnid=30678573031&ref=lp_1805560031_nr_p_n_format_browse-bin_1","Top Brands","","","","","","","","","",""
"Invoice","GST Invoice","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_amazon_business_seller%3A14075367031&dc&qid=1675167496&rnid=14075366031&ref=lp_1805560031_nr_p_amazon_business_seller_0","","","","","","","","","","","",""
"Operating System","Android 10.0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty-one_browse-bin%3A51258730031&dc&qid=1675167496&rnid=51258619031&ref=lp_1805560031_nr_p_n_feature_thirty-one_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty-one_browse-bin%3A51258744031&dc&qid=1675167496&rnid=51258619031&ref=lp_1805560031_nr_p_n_feature_thirty-one_browse-bin_1","Android 11.0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty-one_browse-bin%3A51258733031&dc&qid=1675167496&rnid=51258619031&ref=lp_1805560031_nr_p_n_feature_thirty-one_browse-bin_2","Android 12.0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty-one_browse-bin%3A51258648031&dc&qid=1675167496&rnid=51258619031&ref=lp_1805560031_nr_p_n_feature_thirty-one_browse-bin_3","Android 5.1","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty-one_browse-bin%3A51258780031&dc&qid=1675167496&rnid=51258619031&ref=lp_1805560031_nr_p_n_feature_thirty-one_browse-bin_4","Android 8.1","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty-one_browse-bin%3A51258767031&dc&qid=1675167496&rnid=51258619031&ref=lp_1805560031_nr_p_n_feature_thirty-one_browse-bin_5","Android 9.0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty-one_browse-bin%3A51258741031&dc&qid=1675167496&rnid=51258619031&ref=lp_1805560031_nr_p_n_feature_thirty-one_browse-bin_6","iOS 14"
"Amazon Prime","","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_85%3A10440599031&dc&qid=1675167496&rnid=10440598031&ref=lp_1805560031_nr_p_85_1","","","","","","","","","","","",""
"Brands","OnePlus","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_89%3AOnePlus&dc&qid=1675167496&rnid=3837712031&ref=lp_1805560031_nr_p_89_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_89%3ARedmi&dc&qid=1675167496&rnid=3837712031&ref=lp_1805560031_nr_p_89_1","Redmi","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_89%3ASamsung&dc&qid=1675167496&rnid=3837712031&ref=lp_1805560031_nr_p_89_2","Samsung","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_89%3AXiaomi&dc&qid=1675167496&rnid=3837712031&ref=lp_1805560031_nr_p_89_3","Xiaomi","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_89%3AApple&dc&qid=1675167496&rnid=3837712031&ref=lp_1805560031_nr_p_89_4","Apple","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_89%3AOppo&dc&qid=1675167496&rnid=3837712031&ref=lp_1805560031_nr_p_89_5","Oppo","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_89%3AiQOO&dc&qid=1675167496&rnid=3837712031&ref=lp_1805560031_nr_p_89_6","iQOO"
"Pay On Delivery","Eligible for Pay On Delivery","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_is_cod_eligible%3A4931671031&dc&qid=1675167496&rnid=4931670031&ref=lp_1805560031_nr_p_n_is_cod_eligible_0","","","","","","","","","","","",""
"Internal Memory","Less than 3.9 GB","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_eight_browse-bin%3A8561118031&dc&qid=1675167496&rnid=8561111031&ref=lp_1805560031_nr_p_n_feature_eight_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_eight_browse-bin%3A8561115031&dc&qid=1675167496&rnid=8561111031&ref=lp_1805560031_nr_p_n_feature_eight_browse-bin_1","4 GB","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_eight_browse-bin%3A8561117031&dc&qid=1675167496&rnid=8561111031&ref=lp_1805560031_nr_p_n_feature_eight_browse-bin_2","8 GB","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_eight_browse-bin%3A8561113031&dc&qid=1675167496&rnid=8561111031&ref=lp_1805560031_nr_p_n_feature_eight_browse-bin_3","16 GB","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_eight_browse-bin%3A8561114031&dc&qid=1675167496&rnid=8561111031&ref=lp_1805560031_nr_p_n_feature_eight_browse-bin_4","32 GB","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_eight_browse-bin%3A8561116031&dc&qid=1675167496&rnid=8561111031&ref=lp_1805560031_nr_p_n_feature_eight_browse-bin_5","64 GB","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_eight_browse-bin%3A8561112031&dc&qid=1675167496&rnid=8561111031&ref=lp_1805560031_nr_p_n_feature_eight_browse-bin_6","128 GB"
"Item Weight","Up to 141.9 g","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-seven_browse-bin%3A42659590031&dc&qid=1675167496&rnid=42659587031&ref=lp_1805560031_nr_p_n_feature_twenty-seven_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-seven_browse-bin%3A42659588031&dc&qid=1675167496&rnid=42659587031&ref=lp_1805560031_nr_p_n_feature_twenty-seven_browse-bin_1","142 to 197.9 g","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-seven_browse-bin%3A42659589031&dc&qid=1675167496&rnid=42659587031&ref=lp_1805560031_nr_p_n_feature_twenty-seven_browse-bin_2","198 to 254.9 g","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-seven_browse-bin%3A42659591031&dc&qid=1675167496&rnid=42659587031&ref=lp_1805560031_nr_p_n_feature_twenty-seven_browse-bin_3","255 g & Above","","","","","",""
"Screen Size","Up to 3.9 in","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_six_browse-bin%3A6631752031&dc&qid=1675167496&rnid=6631751031&ref=lp_1805560031_nr_p_n_feature_six_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_six_browse-bin%3A6631753031&dc&qid=1675167496&rnid=6631751031&ref=lp_1805560031_nr_p_n_feature_six_browse-bin_1","4 to 4.4 in","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_six_browse-bin%3A6631754031&dc&qid=1675167496&rnid=6631751031&ref=lp_1805560031_nr_p_n_feature_six_browse-bin_2","4.5 to 4.9 in","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_six_browse-bin%3A6631755031&dc&qid=1675167496&rnid=6631751031&ref=lp_1805560031_nr_p_n_feature_six_browse-bin_3","5 to 5.4 in","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_six_browse-bin%3A6631756031&dc&qid=1675167496&rnid=6631751031&ref=lp_1805560031_nr_p_n_feature_six_browse-bin_4","5.5 in & above","","","",""
"Processor Speed","Less Than 0.99 GHz","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_nine_browse-bin%3A8561128031&dc&qid=1675167496&rnid=8561123031&ref=lp_1805560031_nr_p_n_feature_nine_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_nine_browse-bin%3A8561124031&dc&qid=1675167496&rnid=8561123031&ref=lp_1805560031_nr_p_n_feature_nine_browse-bin_1","1 - 1.49 GHz","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_nine_browse-bin%3A8561125031&dc&qid=1675167496&rnid=8561123031&ref=lp_1805560031_nr_p_n_feature_nine_browse-bin_2","1.5 - 1.99 GHz","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_nine_browse-bin%3A8561126031&dc&qid=1675167496&rnid=8561123031&ref=lp_1805560031_nr_p_n_feature_nine_browse-bin_3","2 - 2.4 GHz","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_nine_browse-bin%3A8561127031&dc&qid=1675167496&rnid=8561123031&ref=lp_1805560031_nr_p_n_feature_nine_browse-bin_4","2.5 GHz & Above","","","",""
"Colour","","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_size_two_browse-vebin%3A15563995031&dc&qid=1675167496&rnid=15563994031&ref=lp_1805560031_nr_p_n_size_two_browse-vebin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_size_two_browse-vebin%3A15563996031&dc&qid=1675167496&rnid=15563994031&ref=lp_1805560031_nr_p_n_size_two_browse-vebin_1","","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_size_two_browse-vebin%3A15563997031&dc&qid=1675167496&rnid=15563994031&ref=lp_1805560031_nr_p_n_size_two_browse-vebin_2","","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_size_two_browse-vebin%3A15563998031&dc&qid=1675167496&rnid=15563994031&ref=lp_1805560031_nr_p_n_size_two_browse-vebin_3","","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_size_two_browse-vebin%3A15563999031&dc&qid=1675167496&rnid=15563994031&ref=lp_1805560031_nr_p_n_size_two_browse-vebin_4","","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_size_two_browse-vebin%3A15564000031&dc&qid=1675167496&rnid=15563994031&ref=lp_1805560031_nr_p_n_size_two_browse-vebin_5","","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_size_two_browse-vebin%3A15564001031&dc&qid=1675167496&rnid=15563994031&ref=lp_1805560031_nr_p_n_size_two_browse-vebin_6",""
"Battery Capacity","Less Than 999 mAh","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirteen_browse-bin%3A8561103031&dc&qid=1675167496&rnid=8561098031&ref=lp_1805560031_nr_p_n_feature_thirteen_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirteen_browse-bin%3A8561099031&dc&qid=1675167496&rnid=8561098031&ref=lp_1805560031_nr_p_n_feature_thirteen_browse-bin_1","1000 - 1999 mAh","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirteen_browse-bin%3A8561100031&dc&qid=1675167496&rnid=8561098031&ref=lp_1805560031_nr_p_n_feature_thirteen_browse-bin_2","2000 - 2999 mAh","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirteen_browse-bin%3A8561101031&dc&qid=1675167496&rnid=8561098031&ref=lp_1805560031_nr_p_n_feature_thirteen_browse-bin_3","3000 - 3999 mAh","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirteen_browse-bin%3A8561102031&dc&qid=1675167496&rnid=8561098031&ref=lp_1805560031_nr_p_n_feature_thirteen_browse-bin_4","4000 mAh & More","","","",""
"Form Factor","Bar","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-three_browse-bin%3A28161950031&dc&qid=1675167496&rnid=28161949031&ref=lp_1805560031_nr_p_n_feature_twenty-three_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-three_browse-bin%3A28161951031&dc&qid=1675167496&rnid=28161949031&ref=lp_1805560031_nr_p_n_feature_twenty-three_browse-bin_1","Foldable Case","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-three_browse-bin%3A28161952031&dc&qid=1675167496&rnid=28161949031&ref=lp_1805560031_nr_p_n_feature_twenty-three_browse-bin_2","Foldable Screen","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-three_browse-bin%3A28161953031&dc&qid=1675167496&rnid=28161949031&ref=lp_1805560031_nr_p_n_feature_twenty-three_browse-bin_3","Slate","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-three_browse-bin%3A28161954031&dc&qid=1675167496&rnid=28161949031&ref=lp_1805560031_nr_p_n_feature_twenty-three_browse-bin_4","Slider","","","",""
"SIM Card Size","Micro","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twelve_browse-bin%3A27179454031&dc&qid=1675167496&rnid=27179438031&ref=lp_1805560031_nr_p_n_feature_twelve_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twelve_browse-bin%3A27179455031&dc&qid=1675167496&rnid=27179438031&ref=lp_1805560031_nr_p_n_feature_twelve_browse-bin_1","Nano","","","","","","","","","",""
"Connectivity Technology","Bluetooth","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty_browse-bin%3A27363277031&dc&qid=1675167496&rnid=27363274031&ref=lp_1805560031_nr_p_n_feature_twenty_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty_browse-bin%3A27363275031&dc&qid=1675167496&rnid=27363274031&ref=lp_1805560031_nr_p_n_feature_twenty_browse-bin_1","Infrared","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty_browse-bin%3A27363279031&dc&qid=1675167496&rnid=27363274031&ref=lp_1805560031_nr_p_n_feature_twenty_browse-bin_2","NFC","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty_browse-bin%3A27363276031&dc&qid=1675167496&rnid=27363274031&ref=lp_1805560031_nr_p_n_feature_twenty_browse-bin_3","USB","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty_browse-bin%3A27363278031&dc&qid=1675167496&rnid=27363274031&ref=lp_1805560031_nr_p_n_feature_twenty_browse-bin_4","Wi-Fi","","","",""
"Display Type","AMOLED","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-one_browse-bin%3A27401647031&dc&qid=1675167496&rnid=27401646031&ref=lp_1805560031_nr_p_n_feature_twenty-one_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-one_browse-bin%3A27401648031&dc&qid=1675167496&rnid=27401646031&ref=lp_1805560031_nr_p_n_feature_twenty-one_browse-bin_1","LCD","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-one_browse-bin%3A27401649031&dc&qid=1675167496&rnid=27401646031&ref=lp_1805560031_nr_p_n_feature_twenty-one_browse-bin_2","OLED","","","","","","","",""
"Included Components","Headset","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty-three_browse-bin%3A66008621031&dc&qid=1675167496&rnid=66008593031&ref=lp_1805560031_nr_p_n_feature_thirty-three_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty-three_browse-bin%3A66008623031&dc&qid=1675167496&rnid=66008593031&ref=lp_1805560031_nr_p_n_feature_thirty-three_browse-bin_1","Phone Case","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty-three_browse-bin%3A66008624031&dc&qid=1675167496&rnid=66008593031&ref=lp_1805560031_nr_p_n_feature_thirty-three_browse-bin_2","Power Adapter","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty-three_browse-bin%3A66008622031&dc&qid=1675167496&rnid=66008593031&ref=lp_1805560031_nr_p_n_feature_thirty-three_browse-bin_3","Screen Protector","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty-three_browse-bin%3A66008617031&dc&qid=1675167496&rnid=66008593031&ref=lp_1805560031_nr_p_n_feature_thirty-three_browse-bin_4","SIM Tray Ejector","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty-three_browse-bin%3A66008618031&dc&qid=1675167496&rnid=66008593031&ref=lp_1805560031_nr_p_n_feature_thirty-three_browse-bin_5","USB Cable","",""
"Shooting Modes","Aperture Priority","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_sixteen_browse-bin%3A27316763031&dc&qid=1675167496&rnid=27316761031&ref=lp_1805560031_nr_p_n_feature_sixteen_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_sixteen_browse-bin%3A27316764031&dc&qid=1675167496&rnid=27316761031&ref=lp_1805560031_nr_p_n_feature_sixteen_browse-bin_1","Automatic","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_sixteen_browse-bin%3A27316767031&dc&qid=1675167496&rnid=27316761031&ref=lp_1805560031_nr_p_n_feature_sixteen_browse-bin_2","High Dynamic Range","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_sixteen_browse-bin%3A27316769031&dc&qid=1675167496&rnid=27316761031&ref=lp_1805560031_nr_p_n_feature_sixteen_browse-bin_3","Macro","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_sixteen_browse-bin%3A27316770031&dc&qid=1675167496&rnid=27316761031&ref=lp_1805560031_nr_p_n_feature_sixteen_browse-bin_4","Panorama","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_sixteen_browse-bin%3A27316773031&dc&qid=1675167496&rnid=27316761031&ref=lp_1805560031_nr_p_n_feature_sixteen_browse-bin_5","Portrait","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_sixteen_browse-bin%3A27316775031&dc&qid=1675167496&rnid=27316761031&ref=lp_1805560031_nr_p_n_feature_sixteen_browse-bin_6","Scene"
"Front Photo Sensor Resolution","Up to 6.9 MP","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty-two_browse-bin%3A61505203031&dc&qid=1675167496&rnid=61505195031&ref=lp_1805560031_nr_p_n_feature_thirty-two_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty-two_browse-bin%3A61505201031&dc&qid=1675167496&rnid=61505195031&ref=lp_1805560031_nr_p_n_feature_thirty-two_browse-bin_1","7.0 to 9.9 MP","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty-two_browse-bin%3A61505199031&dc&qid=1675167496&rnid=61505195031&ref=lp_1805560031_nr_p_n_feature_thirty-two_browse-bin_2","10.0 to 12.9 MP","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty-two_browse-bin%3A61505197031&dc&qid=1675167496&rnid=61505195031&ref=lp_1805560031_nr_p_n_feature_thirty-two_browse-bin_3","13.0 MP & above","","","","","",""
"Biometric Security Feature","Face Recognition","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_eighteen_browse-bin%3A27355807031&dc&qid=1675167496&rnid=27355796031&ref=lp_1805560031_nr_p_n_feature_eighteen_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_eighteen_browse-bin%3A27355812031&dc&qid=1675167496&rnid=27355796031&ref=lp_1805560031_nr_p_n_feature_eighteen_browse-bin_1","Fingerprint Recognition","","","","","","","","","",""
